CD_CID,DS_CID
,Em Branco
0,Zerados
20,{ñ class}
200,{ñ class}
5525,{ñ class}
628,{ñ class}
A00,Colera
A000,Colera Dev Vibrio Cholerae 01 Biot Chol
A001,Colera Dev Vibrio Cholerae 01 Biot El T
A009,Colera Ne
A01,Febres Tifoide e Paratifoide
A011,Febre Paratifoide A
A028,Outr Infecc Espec p/Salmonela
A030,Shiguelose Dev Shigella Dysenteriae
A04,Outr Infecc Intestinais Bacter
A047,Enterocolite Dev Clostridium Difficile
A064,Abscesso Amebiano do Figado
A08,Infecc Intestinais Virais Outr e as Ne
A081,Gastroenteropatia Aguda p/Agente de Nor
A085,Outr Infecc Intestinais Espec
A09,Diarreia e Gastroenterite Orig Infecc P
A15,Tuberc Respirat c/Conf Bacteriol e Hist
A150,Tuberc Pulm c/Conf p/Ex Micr Expec c/S/
A151,Tuberc Pulmonar c/Conf Somente p/Cultur
A152,Tuberc Pulmonar c/Conf Histolog
A153,Tuberc Pulmonar c/Conf p/Meio Ne
A154,Tuberc Gangl Intrator c/Conf Bacter e H
A156,Pleuris Tuberc c/Conf Bacteriol e Histo
A157,Tuberc Prim Vias Respir c/Conf Bact e H
A158,Outr Form Tuberc Via Resp c/Conf Bact H
A159,Tuberc Ne Vias Respir c/Conf Bacter His
A16,Tuberc Vias Respirat s/Conf Bacter Hist
A160,Tuberc Pulmonar c/Exames Bact e Hist Ne
A161,Tuberc Pulmonar s/Exame Bacter ou Histo
A162,Tuberc Pulmonar s/Menc Conf Bact ou His
A163,Tuberc Gangl Intrat s/Menc Conf Bact Hi
A164,Tuberc Laring Traq Bronq s/Menc Bact Hi
A165,Pleurisia Tuberc s/Menc Conf Bact ou Hi
A167,Tuberc Respir Prim s/Menc Conf Bact Ou
A168,Outr Tuber Via Resp s/Menc Conf Bact Hi
A169,Tuberc Respirat Ne s/Menc Conf Bact Ou
A17,Tuberc do Sist Nervoso
A170,Meningite Tuberc
A18,Tuberc de Outr Orgaos
A180,Tuberc Ossea e das Articulacoes
A182,Linfadenopatia Tuberc Periferica
A183,Tuberc Intestino Peritonio Gangl Mesent
A184,Tuberc de Pele e Tec Celular Subcutaneo
A185,Tuberc do Olho
A188,Tuberc de Outr Orgaos Espec
A19,Tuberc Miliar
A190,Tuberc Miliar Aguda de Localiz Unica Es
A198,Outr Tuberc Miliares
A199,Tuberc Miliar Ne
A220,Carbunculo Cutaneo
A23,Brucelose
A26,Erisipeloide
A268,Outr Form de Erisipeloide
A27,Leptospirose
A270,Leptopirose Icterohemorragica
A279,Leptospirose Ne
A281,Doenc p/Arranhadura do Gato
A30,Hanseniase
A300,Hanseniase Indeterminada
A301,Hanseniase Tuberculoide
A302,Hanseniase Tuberculoide Borderline
A303,Hanseniase Dimorfa
A304,Hanseniase Lepromatosa Borderline
A305,Hanseniase Lepromatosa
A308,Outr Form de Hanseniase
A309,Hanseniase Ne
A31,Infecc Dev Outr Micobacterias
A310,Infecc Pulmonar Micobacteriana
A311,Infecc Cutanea Micobacteriana
A318,Outr Infecc Micobacterianas
A319,Infecc Micobacteriana Ne
A35,Outr Tipos de Tetano
A37,Coqueluche
A370,Coqueluche p/Bordetella Pertussis
A39,Infecc Meningogocica
A390,Meningite Meningococica
A399,Infecc Meningococica Ne
A40,Septicemia Estreptococica
A400,Septicemia p/Streptococcus do Grupo A
A403,Septicemia p/Streptococcus Pneumonia
A408,Outr Septicemias Estreptococicas
A41,Outr Septicemias
A410,Septicemia p/Staphylococcus Aureus
A415,Septicemia p/Outr Microorg Gram-Negativ
A418,Outr Septicemias Espec
A419,Septicemia Ne
A42,Actinomicose
A46,Erisipela
A48,Outr Doenc Bacter Ncop
A480,Gangrena Gasosa
A488,Outr Doenc Bacter Espec
A49,Infecc Bacter de Local Ne
A490,Infecc Estafilococica Ne
A491,Infecc Estreptococica Ne
A498,Outr Infecc Bacter de Localiz Ne
A499,Infecc Bacter Ne
A503,Oculopatia Sifilitica Congen Tard
A509,Sifilis Congen Ne
A513,Sifilis Secund da Pele e das Mucosas
A52,Sifilis Tard
A521,Neurossifilis Sintomatica
A523,Neurossifilis Ne
A527,Outr Form de Sifilis Tard Sintomatica
A53,Outr Form e as Ne da Sifilis
A530,Sifilis Latente Ne Se Recente ou Tard
A539,Sifilis Ne
A544,Infecc Gonococica Sist Musculo-Esquelet
A57,Cancro Mole
A63,Outr Doenc de Transm Predom Sexual Ncop
A630,Verrugas Anogenitais
A64,Doenc Sexualmente Transm Ne
A661,Papilomas Mult e Bouba Plantar Umida
A663,Hiperceratose Dev Bouba
A689,Febre Recorrente Ne
A69,Outr Infecc p/Espiroquetas
A692,Doenc de Lyme
A70,Infecc Causadas p/Clamidia Psittaci
A77,Febre Maculosa
A78,Febre Q
A80,Poliomielite Aguda
A800,Poliomielite Paral Aguda Assoc Virus Va
A803,Poliomielites Paraliticas Agudas Outr E
A810,Doenc de Creutzfeldt-Jakob
A812,Leucoencefalopatia Multifocal Progressi
A83,Encefalite p/Virus Transm p/Mosquitos
A86,Encefalite Viral Ne
A87,Meningite Viral
A879,Meningite Viral Ne
A89,Infecc Virais Ne do Sist Nervoso Centra
A90,Dengue
A92,Outr Febres Virais Transm p/Mosquitos
A920,Febre de Chikungunya
A928,Outr Febres Virais Espec Transm p/Mosqu
A94,Febre Viral Transm p/Artropodes Ne
A95,Febre Amarela
B00,Infecc p/Virus do Herpes
B003,Meningite Dev Virus do Herpes
B004,Encefalite Dev Virus do Herpes
B005,Afeccoes Oculares Dev Virus do Herpes
B009,Infecc Ne Dev Virus do Herpes
B01,Varicela
B019,Varicela s/Complic
B02,Herpes Zoster
B020,Encefalite p/Virus do Herpes Zoster
B022,Herpes Zoster Acomp Outr Manif Neurolog
B023,Herpes Zoster Oftalmico
B027,Herpes Zoster Disseminado
B028,Herpes Zoster c/Outr Complic
B029,Herpes Zoster s/Complic
B04,Variola dos Macacos
B07,Verrugas Orig Viral
B088,Outr Inf Virais Espec Lesoes Pele Membr
B15,Hepatite Aguda A
B159,Hepatite a s/Coma Hepatico
B16,Hepatite Aguda B
B161,Hepatite Aguda B c/Agente Delta s/Coma
B169,Hepatite Aguda B s/Agente Delta s/Coma
B17,Outr Hepatites Virais Agudas
B171,Hepatite Aguda C
B178,Outr Hepatites Virais Agudas Espec
B18,Hepatite Viral Cronica
B180,Hepatite Viral Cronica B c/Agente Delta
B181,Hepatite Cronica Viral B s/Agente Delta
B182,Hepatite Viral Cronica C
B19,Hepatite Viral Ne
B199,Hepatite Viral Ne s/Coma
B20,Doenc p/Hiv Result Doenc Infecc e Paras
B200,Doenc p/Hiv Result em Infecc Micobacter
B201,Doenc p/Hiv Result Outr Infecc Bacter
B203,Doenc p/Hiv Result em Outr Infecc Virai
B204,Doenc p/Hiv Result em Candidiase
B205,Doenc p/Hiv Result em Outr Micoses
B207,Doenc p/Hiv Result em Infecc Mult
B209,Doenc p/Hiv Result Doenc Infecc Parasit
B21,Doenc p/Hiv Result em Neopl Malig
B210,Doenc p/Hiv Result em Sarcoma de Kaposi
B22,Doenc p/Hiv Result em Outr Doenc Espec
B220,Doenc p/Hiv Result em Encefalopatia
B227,Doenc p/Hiv Result em Doenc Mult Cop
B23,Doenc p/Hiv Result em Outr Doenc
B230,Sindr de Infecc Aguda p/Hiv
B232,Doenc p/Hiv Result Anom Hemat Imunolog
B238,Doenc p/Hiv Result em Outr Afeccoes Esp
B24,Doenc p/Hiv Ne
B25,Doenc p/Citomegalovirus
B251,Hepatite p/Citomegalovirus
B258,Outr Doenc p/Citomegalovirus
B259,Doenc Ne p/Citomegalovirus
B26,Caxumba
